cluster_id,cluster_size,n_records,n_pro,n_con,first_seen,last_seen,time_span_minutes,support_n,evidence_tier,primary_explanation,secondary_explanation,score,is_low_power,caveat_flags,evidence_kinds,score_primary_driver,score_detector_breakdown,score_signal_breakdown
cluster_0001,7,14,0,14,2025-03-29T07:05:00-07:00,2025-03-31T14:54:00-07:00,3349.0,14,watch,potential_manipulation,none,0.8,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0001:heuristic (100.0%)
cluster_0002,6,10,0,10,2025-03-27T07:25:00-07:00,2025-03-31T13:50:00-07:00,6145.0,10,watch,potential_manipulation,none,0.6357142857142857,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0002:heuristic (100.0%)
cluster_0003,5,8,0,8,2025-03-29T07:02:00-07:00,2025-03-31T13:36:00-07:00,3274.0,8,watch,potential_manipulation,none,0.5214285714285715,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0003:heuristic (100.0%)
cluster_0005,5,7,1,6,2025-03-27T19:29:00-07:00,2025-03-31T08:56:00-07:00,5127.0,7,watch,potential_manipulation,none,0.4964285714285715,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0005:heuristic (100.0%)
cluster_0011,4,9,0,9,2025-03-27T09:49:00-07:00,2025-03-31T08:43:00-07:00,5694.0,9,watch,potential_manipulation,none,0.4821428571428571,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0011:heuristic (100.0%)
cluster_0004,5,5,1,4,2025-03-30T07:13:00-07:00,2025-03-31T10:06:00-07:00,1613.0,5,watch,potential_manipulation,none,0.44642857142857145,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0004:heuristic (100.0%)
cluster_0006,5,5,0,5,2025-03-28T15:15:00-07:00,2025-03-31T14:47:00-07:00,4292.0,5,watch,potential_manipulation,none,0.44642857142857145,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0006:heuristic (100.0%)
cluster_0039,3,3,0,3,2025-03-31T08:09:00-07:00,2025-03-31T11:17:00-07:00,188.0,3,watch,potential_manipulation,none,0.4417460317460317,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0039:heuristic (100.0%)
cluster_0009,4,6,0,6,2025-03-28T06:35:00-07:00,2025-03-31T11:26:00-07:00,4611.0,6,watch,potential_manipulation,none,0.40714285714285714,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0009:heuristic (100.0%)
cluster_0012,4,6,0,6,2025-03-26T21:55:00-07:00,2025-03-31T12:49:00-07:00,6654.0,6,watch,potential_manipulation,none,0.40714285714285714,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0012:heuristic (100.0%)
cluster_0157,2,3,0,3,2025-03-28T11:02:00-07:00,2025-03-28T11:10:00-07:00,8.0,3,watch,potential_manipulation,none,0.40246031746031746,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0157:heuristic (100.0%)
cluster_0033,3,3,0,3,2025-03-31T05:34:00-07:00,2025-03-31T14:04:00-07:00,510.0,3,watch,potential_manipulation,none,0.3970238095238095,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0033:heuristic (100.0%)
cluster_0207,2,3,0,3,2025-03-30T15:32:00-07:00,2025-03-30T16:34:00-07:00,62.0,3,watch,potential_manipulation,none,0.39496031746031746,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0207:heuristic (100.0%)
cluster_0018,3,8,0,8,2025-03-27T18:00:00-07:00,2025-03-31T11:48:00-07:00,5388.0,8,watch,potential_manipulation,none,0.3928571428571428,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0018:heuristic (100.0%)
cluster_0029,3,8,0,8,2025-03-28T14:31:00-07:00,2025-03-31T13:59:00-07:00,4288.0,8,watch,potential_manipulation,none,0.3928571428571428,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0029:heuristic (100.0%)
cluster_0202,2,3,0,3,2025-03-31T07:56:00-07:00,2025-03-31T10:08:00-07:00,132.0,3,watch,potential_manipulation,none,0.38523809523809527,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0202:heuristic (100.0%)
cluster_0426,2,4,0,4,2025-03-28T08:11:00-07:00,2025-03-28T13:26:00-07:00,315.0,4,watch,potential_manipulation,none,0.38482142857142854,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0426:heuristic (100.0%)
cluster_0007,4,5,0,5,2025-03-27T23:05:00-07:00,2025-03-30T18:00:00-07:00,4015.0,5,watch,potential_manipulation,none,0.3821428571428571,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0007:heuristic (100.0%)
cluster_0008,4,5,0,5,2025-03-27T19:16:00-07:00,2025-03-31T07:36:00-07:00,5060.0,5,watch,potential_manipulation,none,0.3821428571428571,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0008:heuristic (100.0%)
